"행정구역","2025년03월_계_총인구수","2025년03월_계_연령구간인구수","2025년03월_계_0~9세","2025년03월_계_10~19세","2025년03월_계_20~29세","2025년03월_계_30~39세","2025년03월_계_40~49세","2025년03월_계_50~59세","2025년03월_계_60~69세","2025년03월_계_70~79세","2025년03월_계_80~89세","2025년03월_계_90~99세","2025년03월_계_100세 이상","2025년03월_남_총인구수","2025년03월_남_연령구간인구수","2025년03월_남_0~9세","2025년03월_남_10~19세","2025년03월_남_20~29세","2025년03월_남_30~39세","2025년03월_남_40~49세","2025년03월_남_50~59세","2025년03월_남_60~69세","2025년03월_남_70~79세","2025년03월_남_80~89세","2025년03월_남_90~99세","2025년03월_남_100세 이상","2025년03월_여_총인구수","2025년03월_여_연령구간인구수","2025년03월_여_0~9세","2025년03월_여_10~19세","2025년03월_여_20~29세","2025년03월_여_30~39세","2025년03월_여_40~49세","2025년03월_여_50~59세","2025년03월_여_60~69세","2025년03월_여_70~79세","2025년03월_여_80~89세","2025년03월_여_90~99세","2025년03월_여_100세 이상"
"경기도 양주시 (4163000000)","290,250","290,250","22,956","28,292","31,143","39,283","46,377","49,035","40,009","21,151","10,316","1,638","50","146,035","146,035","11,632","14,297","16,388","20,266","23,863","25,040","20,177","9,938","4,003","420","11","144,215","144,215","11,324","13,995","14,755","19,017","22,514","23,995","19,832","11,213","6,313","1,218","39"
"경기도 양주시 백석읍(4163025000)","25,504","25,504","867","2,122","2,685","2,138","3,119","5,135","5,157","2,591","1,453","236","1","12,886","12,886","426","1,077","1,508","1,167","1,581","2,626","2,655","1,243","545","58","0","12,618","12,618","441","1,045","1,177","971","1,538","2,509","2,502","1,348","908","178","1"
"경기도 양주시 은현면(4163031000)","5,138","5,138","70","220","477","398","468","971","1,348","733","370","82","1","2,951","2,951","34","130","302","265","294","606","774","398","130","18","0","2,187","2,187","36","90","175","133","174","365","574","335","240","64","1"
"경기도 양주시 남면(4163032000)","6,052","6,052","201","298","552","608","603","1,006","1,483","817","386","94","4","3,425","3,425","103","140","374","381","380","610","846","422","149","19","1","2,627","2,627","98","158","178","227","223","396","637","395","237","75","3"
"경기도 양주시 광적면(4163033000)","10,588","10,588","350","707","853","915","1,197","2,191","2,481","1,204","594","94","2","5,749","5,749","166","392","509","533","691","1,206","1,364","619","244","25","0","4,839","4,839","184","315","344","382","506","985","1,117","585","350","69","2"
"경기도 양주시 장흥면(4163034000)","12,027","12,027","467","468","993","1,221","1,225","2,021","2,707","1,738","946","233","8","6,063","6,063","256","246","579","673","666","1,013","1,324","876","372","56","2","5,964","5,964","211","222","414","548","559","1,008","1,383","862","574","177","6"
"경기도 양주시 양주1동(4163051000)","4,500","4,500","95","246","322","372","398","770","1,165","679","376","77","0","2,325","2,325","47","129","184","205","228","405","649","329","134","15","0","2,175","2,175","48","117","138","167","170","365","516","350","242","62","0"
"경기도 양주시 양주2동(4163052000)","49,233","49,233","3,033","6,142","5,586","4,371","8,262","9,323","6,229","4,062","1,957","257","11","24,054","24,054","1,563","3,085","2,823","2,214","4,053","4,751","2,894","1,783","811","77","0","25,179","25,179","1,470","3,057","2,763","2,157","4,209","4,572","3,335","2,279","1,146","180","11"
"경기도 양주시 회천1동(4163053000)","8,668","8,668","467","645","1,111","1,006","1,076","1,595","1,518","778","405","62","5","4,521","4,521","230","342","635","564","566","825","823","357","162","15","2","4,147","4,147","237","303","476","442","510","770","695","421","243","47","3"
"경기도 양주시 회천2동(4163054000)","45,809","45,809","4,082","3,686","5,019","7,879","6,863","7,508","6,330","2,914","1,371","154","3","23,015","23,015","2,090","1,880","2,562","4,080","3,594","3,753","3,161","1,334","517","44","0","22,794","22,794","1,992","1,806","2,457","3,799","3,269","3,755","3,169","1,580","854","110","3"
"경기도 양주시 회천3동(4163055000)","24,929","24,929","1,422","2,593","3,376","2,704","3,479","5,033","3,322","1,744","1,104","146","6","12,334","12,334","731","1,320","1,772","1,431","1,719","2,535","1,655","715","404","48","4","12,595","12,595","691","1,273","1,604","1,273","1,760","2,498","1,667","1,029","700","98","2"
"경기도 양주시 옥정1동(4163057000)","39,925","39,925","4,475","3,757","4,284","7,670","7,600","5,453","3,833","2,015","721","114","3","20,216","20,216","2,256","1,916","2,228","3,918","3,980","2,707","1,894","1,004","288","24","1","19,709","19,709","2,219","1,841","2,056","3,752","3,620","2,746","1,939","1,011","433","90","2"
"경기도 양주시 옥정2동(4163058000)","57,877","57,877","7,427","7,408","5,885","10,001","12,087","8,029","4,436","1,876","633","89","6","28,496","28,496","3,730","3,640","2,912","4,835","6,111","4,003","2,138","858","247","21","1","29,381","29,381","3,697","3,768","2,973","5,166","5,976","4,026","2,298","1,018","386","68","5"
