"행정구역","2025년03월_계_총인구수","2025년03월_계_연령구간인구수","2025년03월_계_0~9세","2025년03월_계_10~19세","2025년03월_계_20~29세","2025년03월_계_30~39세","2025년03월_계_40~49세","2025년03월_계_50~59세","2025년03월_계_60~69세","2025년03월_계_70~79세","2025년03월_계_80~89세","2025년03월_계_90~99세","2025년03월_계_100세 이상","2025년03월_남_총인구수","2025년03월_남_연령구간인구수","2025년03월_남_0~9세","2025년03월_남_10~19세","2025년03월_남_20~29세","2025년03월_남_30~39세","2025년03월_남_40~49세","2025년03월_남_50~59세","2025년03월_남_60~69세","2025년03월_남_70~79세","2025년03월_남_80~89세","2025년03월_남_90~99세","2025년03월_남_100세 이상","2025년03월_여_총인구수","2025년03월_여_연령구간인구수","2025년03월_여_0~9세","2025년03월_여_10~19세","2025년03월_여_20~29세","2025년03월_여_30~39세","2025년03월_여_40~49세","2025년03월_여_50~59세","2025년03월_여_60~69세","2025년03월_여_70~79세","2025년03월_여_80~89세","2025년03월_여_90~99세","2025년03월_여_100세 이상"
"서울특별시 양천구 (1147000000)","429,468","429,468","23,550","46,552","48,943","52,293","70,240","73,464","62,811","35,683","13,742","2,118","72","209,250","209,250","12,073","24,143","24,546","25,996","33,624","36,305","29,844","16,693","5,510","502","14","220,218","220,218","11,477","22,409","24,397","26,297","36,616","37,159","32,967","18,990","8,232","1,616","58"
"서울특별시 양천구 목1동(1147051000)","30,009","30,009","2,357","5,049","2,777","2,672","6,435","5,133","3,152","1,697","640","93","4","14,341","14,341","1,178","2,484","1,335","1,144","2,900","2,663","1,525","828","261","22","1","15,668","15,668","1,179","2,565","1,442","1,528","3,535","2,470","1,627","869","379","71","3"
"서울특별시 양천구 목2동(1147052000)","28,228","28,228","1,154","2,150","3,996","5,044","4,139","4,543","4,178","2,111","792","117","4","13,611","13,611","594","1,171","1,909","2,533","2,019","2,092","1,980","988","302","22","1","14,617","14,617","560","979","2,087","2,511","2,120","2,451","2,198","1,123","490","95","3"
"서울특별시 양천구 목3동(1147053000)","20,874","20,874","986","1,237","2,863","3,758","2,880","3,280","3,341","1,736","663","128","2","9,881","9,881","501","675","1,385","1,827","1,396","1,488","1,525","796","258","30","0","10,993","10,993","485","562","1,478","1,931","1,484","1,792","1,816","940","405","98","2"
"서울특별시 양천구 목4동(1147054000)","24,082","24,082","918","2,864","3,546","2,758","3,592","4,859","3,047","1,692","691","112","3","11,721","11,721","457","1,487","1,858","1,427","1,610","2,362","1,474","758","260","27","1","12,361","12,361","461","1,377","1,688","1,331","1,982","2,497","1,573","934","431","85","2"
"서울특별시 양천구 목5동(1147055000)","40,668","40,668","2,935","7,207","3,759","3,405","8,594","6,676","4,690","2,419","796","183","4","20,146","20,146","1,575","3,940","1,925","1,538","3,810","3,466","2,237","1,248","348","57","2","20,522","20,522","1,360","3,267","1,834","1,867","4,784","3,210","2,453","1,171","448","126","2"
"서울특별시 양천구 신월1동(1147056000)","18,821","18,821","579","1,063","2,007","2,342","2,539","3,317","3,852","2,200","823","95","4","9,665","9,665","287","569","1,009","1,336","1,396","1,717","1,936","1,037","363","15","0","9,156","9,156","292","494","998","1,006","1,143","1,600","1,916","1,163","460","80","4"
"서울특별시 양천구 신월2동(1147057000)","20,498","20,498","1,139","1,728","2,235","2,649","3,129","3,271","3,349","2,167","718","107","6","9,987","9,987","614","825","1,128","1,328","1,599","1,634","1,496","1,041","291","31","0","10,511","10,511","525","903","1,107","1,321","1,530","1,637","1,853","1,126","427","76","6"
"서울특별시 양천구 신월3동(1147058000)","13,962","13,962","575","868","1,497","1,853","1,768","2,468","2,673","1,541","650","68","1","7,340","7,340","308","456","790","995","957","1,381","1,441","742","250","20","0","6,622","6,622","267","412","707","858","811","1,087","1,232","799","400","48","1"
"서울특별시 양천구 신월4동(1147059000)","17,018","17,018","953","1,501","1,769","1,980","2,672","2,791","2,831","1,757","663","96","5","8,264","8,264","453","784","942","1,003","1,336","1,358","1,294","804","266","23","1","8,754","8,754","500","717","827","977","1,336","1,433","1,537","953","397","73","4"
"서울특별시 양천구 신월5동(1147060000)","13,808","13,808","613","1,096","1,705","1,936","1,963","2,336","2,318","1,254","511","76","0","6,821","6,821","320","566","837","1,046","990","1,125","1,124","589","209","15","0","6,987","6,987","293","530","868","890","973","1,211","1,194","665","302","61","0"
"서울특별시 양천구 신월6동(1147061000)","13,717","13,717","1,292","1,267","1,320","2,165","2,394","2,046","1,796","1,020","378","35","4","6,684","6,684","672","635","660","1,036","1,226","993","826","471","158","7","0","7,033","7,033","620","632","660","1,129","1,168","1,053","970","549","220","28","4"
"서울특별시 양천구 신월7동(1147061100)","18,173","18,173","689","1,003","1,884","2,486","2,304","3,079","3,535","2,111","938","143","1","8,828","8,828","368","524","942","1,315","1,227","1,527","1,626","948","315","36","0","9,345","9,345","321","479","942","1,171","1,077","1,552","1,909","1,163","623","107","1"
"서울특별시 양천구 신정1동(1147062000)","19,568","19,568","1,443","2,928","1,929","1,767","3,865","3,164","2,430","1,415","511","112","4","9,479","9,479","718","1,514","972","823","1,782","1,599","1,152","685","212","21","1","10,089","10,089","725","1,414","957","944","2,083","1,565","1,278","730","299","91","3"
"서울특별시 양천구 신정2동(1147063000)","18,559","18,559","988","2,890","1,960","1,580","3,400","3,319","2,466","1,314","546","91","5","9,085","9,085","497","1,481","990","755","1,546","1,721","1,222","629","218","25","1","9,474","9,474","491","1,409","970","825","1,854","1,598","1,244","685","328","66","4"
"서울특별시 양천구 신정3동(1147064000)","48,206","48,206","2,685","4,976","5,823","5,699","7,142","9,028","7,047","3,944","1,607","247","8","23,247","23,247","1,361","2,588","2,970","2,832","3,397","4,321","3,284","1,761","671","61","1","24,959","24,959","1,324","2,388","2,853","2,867","3,745","4,707","3,763","2,183","936","186","7"
"서울특별시 양천구 신정4동(1147065000)","31,364","31,364","977","1,891","4,742","4,870","4,305","5,267","4,778","3,180","1,227","121","6","15,163","15,163","483","972","2,227","2,528","2,209","2,538","2,216","1,420","541","28","1","16,201","16,201","494","919","2,515","2,342","2,096","2,729","2,562","1,760","686","93","5"
"서울특별시 양천구 신정6동(1147067000)","23,941","23,941","1,717","3,579","2,449","2,431","4,590","4,054","2,992","1,534","495","96","4","11,611","11,611","893","1,815","1,279","1,120","2,080","1,945","1,439","801","213","25","1","12,330","12,330","824","1,764","1,170","1,311","2,510","2,109","1,553","733","282","71","3"
"서울특별시 양천구 신정7동(1147068000)","27,972","27,972","1,550","3,255","2,682","2,898","4,529","4,833","4,336","2,591","1,093","198","7","13,376","13,376","794","1,657","1,388","1,410","2,144","2,375","2,047","1,147","374","37","3","14,596","14,596","756","1,598","1,294","1,488","2,385","2,458","2,289","1,444","719","161","4"
