"행정구역","2025년03월_총인구수","2025년03월_세대수","2025년03월_세대당 인구","2025년03월_남자 인구수","2025년03월_여자 인구수","2025년03월_남여 비율"
"경기도 남양주시 (4136000000)","730,717","307,572","          2.38","361,553","369,164","          0.98"
"경기도 남양주시 와부읍(4136025000)","57,980","22,872","          2.53","28,471","29,509","          0.96"
"경기도 남양주시 진접읍(4136025300)","95,246","39,862","          2.39","47,822","47,424","          1.01"
"경기도 남양주시 화도읍(4136025600)","63,618","28,510","          2.23","31,695","31,923","          0.99"
"경기도 남양주시 화도읍동부출장소(4136025700)","12,964","5,607","          2.31","6,540","6,424","          1.02"
"경기도 남양주시 화도읍남부출장소(4136025800)","35,509","14,501","          2.45","17,779","17,730","          1.00"
"경기도 남양주시 진건읍(4136025900)","20,058","9,667","          2.07","10,348","9,710","          1.07"
"경기도 남양주시 오남읍(4136026200)","50,965","21,710","          2.35","25,399","25,566","          0.99"
"경기도 남양주시 퇴계원읍(4136026500)","26,742","11,464","          2.33","13,251","13,491","          0.98"
"경기도 남양주시 별내면(4136031000)","18,013","8,112","          2.22","9,000","9,013","          1.00"
"경기도 남양주시 수동면(4136034000)","8,500","4,731","          1.80","4,445","4,055","          1.10"
"경기도 남양주시 조안면(4136036000)","3,759","1,926","          1.95","1,941","1,818","          1.07"
"경기도 남양주시 호평동(4136051000)","55,616","21,780","          2.55","27,008","28,608","          0.94"
"경기도 남양주시 평내동(4136052000)","37,385","14,569","          2.57","18,320","19,065","          0.96"
"경기도 남양주시 금곡동(4136053000)","17,253","8,775","          1.97","8,784","8,469","          1.04"
"경기도 남양주시 양정동(4136054000)","2,318","1,419","          1.63","1,371","947","          1.45"
"경기도 남양주시 다산1동(4136054500)","105,555","42,134","          2.51","51,500","54,055","          0.95"
"경기도 남양주시 다산2동(4136056500)","36,395","14,226","          2.56","17,738","18,657","          0.95"
"경기도 남양주시 별내동(4136057000)","82,841","35,707","          2.32","40,141","42,700","          0.94"
