"행정구역","2025년03월_총인구수","2025년03월_세대수","2025년03월_세대당 인구","2025년03월_남자 인구수","2025년03월_여자 인구수","2025년03월_남여 비율"
"경기도 양주시 (4163000000)","290,250","129,197","          2.25","146,035","144,215","          1.01"
"경기도 양주시 백석읍(4163025000)","25,504","12,027","          2.12","12,886","12,618","          1.02"
"경기도 양주시 은현면(4163031000)","5,138","2,934","          1.75","2,951","2,187","          1.35"
"경기도 양주시 남면(4163032000)","6,052","3,517","          1.72","3,425","2,627","          1.30"
"경기도 양주시 광적면(4163033000)","10,588","5,595","          1.89","5,749","4,839","          1.19"
"경기도 양주시 장흥면(4163034000)","12,027","6,368","          1.89","6,063","5,964","          1.02"
"경기도 양주시 양주1동(4163051000)","4,500","2,385","          1.89","2,325","2,175","          1.07"
"경기도 양주시 양주2동(4163052000)","49,233","20,485","          2.40","24,054","25,179","          0.96"
"경기도 양주시 회천1동(4163053000)","8,668","4,296","          2.02","4,521","4,147","          1.09"
"경기도 양주시 회천2동(4163054000)","45,809","20,433","          2.24","23,015","22,794","          1.01"
"경기도 양주시 회천3동(4163055000)","24,929","10,960","          2.27","12,334","12,595","          0.98"
"경기도 양주시 옥정1동(4163057000)","39,925","17,911","          2.23","20,216","19,709","          1.03"
"경기도 양주시 옥정2동(4163058000)","57,877","22,286","          2.60","28,496","29,381","          0.97"
